,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
0,barrow,1,US,1586616104,82,71.29,-156.79,-20.2,11.41
1,east london,100,ZA,1586616104,78,-33.02,27.91,73.4,3.36
2,inhambane,100,MZ,1586616105,68,-23.86,35.38,77.16,8.52
3,nikolskoye,20,RU,1586616105,69,59.7,30.79,39.2,17.9
4,bluff,100,NZ,1586615806,70,-46.6,168.33,54.0,1.99
5,ushuaia,75,AR,1586616105,57,-54.8,-68.3,48.2,6.93
6,coquimbo,100,CL,1586616105,59,-29.95,-71.34,64.4,2.24
7,yellowknife,20,CA,1586616105,77,62.46,-114.35,5.0,8.05
8,cherskiy,100,RU,1586616105,96,68.75,161.3,13.42,10.58
9,dikson,99,RU,1586616106,93,73.51,80.55,10.08,7.72
10,hermanus,100,ZA,1586615887,80,-34.42,19.23,69.01,5.99
11,severo-kurilsk,67,RU,1586616106,94,50.68,156.12,28.44,10.02
12,atuona,97,PF,1586616106,72,-9.8,-139.03,82.11,8.75
13,jamestown,90,US,1586616106,64,42.1,-79.24,39.2,16.11
14,sola,22,VU,1586616106,75,-13.88,167.55,80.37,13.02
15,tiksi,31,RU,1586615816,93,71.69,128.87,21.88,17.09
16,mayo,1,US,1586616106,42,38.89,-76.51,53.01,13.87
17,vaini,20,TO,1586616106,93,-21.2,-175.2,66.2,3.36
18,rheinau,13,DE,1586616107,33,48.87,8.2,75.99,10.29
19,bredasdorp,100,ZA,1586616107,47,-34.53,20.04,75.2,6.93
20,cidreira,18,BR,1586616107,57,-30.18,-50.21,71.35,6.04
21,punta arenas,75,CL,1586616107,81,-53.15,-70.92,44.6,16.11
22,rikitea,97,PF,1586616107,74,-23.12,-134.97,76.62,4.76
23,sao jose da coroa grande,94,BR,1586616107,63,-8.9,-35.15,86.11,8.3
24,hilo,1,US,1586616107,82,19.73,-155.09,68.0,4.7
25,longyearbyen,20,SJ,1586616108,64,78.22,15.64,-0.4,4.7
26,la rioja,75,ES,1586616108,87,42.25,-2.5,60.8,3.36
27,la joya,5,MX,1586616108,29,18.67,-99.47,77.0,4.7
28,tuktoyaktuk,40,CA,1586616108,76,69.45,-133.04,-9.4,6.93
29,qaanaaq,70,GL,1586616108,78,77.48,-69.36,11.19,6.06
30,santa rosa,40,PH,1586616108,70,14.31,121.11,84.2,5.82
31,thompson,90,CA,1586616108,72,55.74,-97.86,17.6,6.93
32,henties bay,0,NA,1586616108,48,-22.12,14.28,78.55,12.57
33,nago,20,JP,1586616109,88,26.59,127.98,68.0,13.87
34,kodiak,90,US,1586616109,80,57.79,-152.41,39.2,14.99
35,upernavik,100,GL,1586616109,88,72.79,-56.15,19.63,7.27
36,busselton,100,AU,1586616109,46,-33.65,115.33,71.01,1.88
37,albany,40,US,1586615859,48,42.6,-73.97,45.0,18.34
38,port hawkesbury,90,CA,1586616109,69,45.62,-61.35,39.99,23.04
39,la peca,100,PE,1586616110,67,-5.61,-78.44,69.85,1.05
41,vagur,99,FO,1586616110,92,61.47,-6.81,45.48,18.86
42,jumla,15,NP,1586616023,25,29.27,82.18,48.42,2.68
44,tukrah,57,LY,1586616110,53,32.53,20.58,63.19,10.13
45,san cristobal,100,VE,1586615826,44,7.77,-72.22,79.05,3
46,kalabo,100,ZM,1586616110,52,-14.97,22.68,77.14,3.42
47,black river,20,JM,1586616110,74,18.03,-77.85,84.2,10.29
48,tieli,18,CN,1586616110,59,46.95,128.05,40.48,2.86
49,port alfred,100,ZA,1586616111,89,-33.59,26.89,68.0,3
50,ponta do sol,75,PT,1586615905,68,32.67,-17.1,64.4,11.41
51,vao,21,NC,1586615893,78,-22.67,167.48,75.27,15.66
52,kapaa,1,US,1586615974,73,22.08,-159.32,75.2,8.05
53,puerto ayora,75,EC,1586615948,88,-0.74,-90.35,81.0,6.93
54,carnarvon,58,AU,1586616111,83,-24.87,113.63,78.8,12.75
55,bengkulu,54,ID,1586616111,78,-3.8,102.27,80.37,4.59
56,whitehorse,5,CA,1586615850,65,60.72,-135.05,6.8,1.5
57,the valley,20,AI,1586616111,66,18.22,-63.06,87.8,6.93
58,aklavik,40,CA,1586616111,84,68.22,-135.01,-2.2,2.24
59,airai,25,TL,1586615988,74,-8.93,125.41,60.71,0.96
60,beyla,10,GN,1586616112,32,8.68,-8.63,91.4,4.99
61,huilong,75,CN,1586616112,82,31.81,121.66,50.0,12.84
62,alofi,100,NU,1586616112,94,-19.06,-169.92,68.0,2.24
63,new norfolk,75,AU,1586615824,71,-42.78,147.06,51.8,12.75
65,nome,1,US,1586616113,92,64.5,-165.41,23.0,9.17
66,marshall,1,US,1586616113,40,34.38,-86.33,57.0,4.7
67,asau,83,RO,1586616113,23,46.43,26.4,62.6,6.93
68,castro,75,BR,1586616113,45,-24.79,-50.01,69.13,2.66
69,port lavaca,90,US,1586616113,83,28.61,-96.63,75.2,11.41
70,katobu,100,ID,1586616114,90,-4.94,122.53,75.96,3.06
71,chililabombwe,66,ZM,1586616114,56,-12.36,27.82,73.0,4.5
72,salinopolis,55,BR,1586616114,82,-0.61,-47.36,82.69,10.85
74,formiga,60,BR,1586616114,61,-20.46,-45.43,75.38,6.55
75,beloha,87,MG,1586616114,76,-25.17,45.05,75.22,15.48
76,buraydah,75,SA,1586616114,26,26.33,43.98,82.4,5.82
77,bambous virieux,40,MU,1586616115,78,-20.34,57.76,80.01,14.99
78,hobart,75,AU,1586616115,71,-42.88,147.33,51.8,12.75
79,mataura,100,NZ,1586616115,70,-46.19,168.86,54.0,3
81,bandar-e anzali,53,IR,1586616115,72,37.47,49.46,52.99,4.59
82,pangnirtung,75,CA,1586616115,66,66.15,-65.71,14.0,2.24
83,pachino,84,IT,1586616115,48,36.72,15.09,66.2,8.05
84,nouadhibou,0,MR,1586616115,22,20.93,-17.03,91.4,19.46
85,olafsvik,12,IS,1586616115,78,64.89,-23.71,38.68,24.9
86,murgab,90,TM,1586616116,73,37.5,61.97,71.6,6.93
88,morgan city,1,US,1586616116,68,29.7,-91.21,69.8,9.17
89,alto paraguai,70,BR,1586616116,62,-14.51,-56.48,86.47,2.93
90,zile,11,TR,1586616116,33,40.3,35.89,59.0,23.04
91,santa marta,75,CO,1586616116,79,11.24,-74.2,86.0,6.93
93,ayodhya,18,IN,1586616117,17,26.8,82.2,88.12,7.54
94,butaritari,89,KI,1586616116,76,3.07,172.79,83.82,12.62
95,cape town,20,ZA,1586615939,73,-33.93,18.42,69.8,21.92
96,padang,100,ID,1586616117,75,-0.95,100.35,80.53,3.38
97,hanzhong,0,CN,1586616117,35,33.07,107.03,52.07,1.54
98,oksfjord,100,NO,1586616117,91,70.24,22.35,34.0,6.93
99,bethel,20,US,1586616117,38,41.37,-73.41,46.99,16.11
100,ixtapa,75,MX,1586616118,82,20.7,-105.2,73.99,4.16
101,nanortalik,90,GL,1586616118,68,60.14,-45.24,39.49,16.24
103,mahebourg,40,MU,1586616118,78,-20.41,57.7,80.01,14.99
104,saint-philippe,82,RE,1586616062,69,-21.36,55.77,78.8,21.92
105,marsa matruh,0,EG,1586616118,53,31.35,27.25,63.97,9.66
106,san patricio,75,MX,1586616074,73,19.22,-104.7,71.6,1.41
107,ancud,0,CL,1586616118,71,-41.87,-73.82,50.0,4.7
108,qasigiannguit,75,GL,1586616119,44,68.82,-51.19,37.4,12.75
109,bayir,20,TR,1586616119,31,37.27,28.22,75.2,10.29
111,moyale,55,KE,1586616119,49,3.52,39.06,77.68,7.36
112,kieta,92,PG,1586616119,79,-6.22,155.63,80.24,2.82
113,acajutla,100,SV,1586616119,65,13.59,-89.83,82.0,1.99
114,ankara,40,TR,1586616054,25,39.92,32.85,62.6,11.41
115,vila velha,75,BR,1586615830,88,-20.33,-40.29,79.0,11.41
116,los llanos de aridane,75,ES,1586616120,73,28.66,-17.92,69.8,11.41
117,kavaratti,2,IN,1586616120,67,10.57,72.64,85.37,3.33
118,sao filipe,0,CV,1586616120,71,14.9,-24.5,76.42,18.34
119,healdsburg,90,US,1586616120,93,38.61,-122.87,51.8,0.25
122,khatanga,80,RU,1586616121,94,71.97,102.5,7.07,12.57
123,pokhara,27,NP,1586616121,19,28.23,83.98,66.06,5.88
124,boundiali,13,CI,1586616121,23,9.52,-6.49,99.68,5.26
125,georgetown,20,MY,1586615896,79,5.41,100.34,86.0,6.93
126,balkanabat,98,TM,1586616121,49,39.51,54.37,61.48,7.58
127,tura,31,IN,1586616121,36,25.52,90.22,76.46,2.42
128,vidim,54,RU,1586616121,86,56.41,103.11,29.57,3.38
129,whitianga,2,NZ,1586616122,75,-36.83,175.7,60.21,5.37
130,mar del plata,40,AR,1586616122,93,-38,-57.56,69.01,11.41
131,palmer,40,US,1586616122,38,42.16,-72.33,46.4,19.46
132,katherine,75,AU,1586616122,74,-14.47,132.27,78.8,6.93
133,palaikastron,0,GR,1586616122,65,35.2,26.25,63.18,14.43
134,pevek,100,RU,1586616122,94,69.7,170.31,6.35,12.48
135,sur,0,OM,1586616122,53,22.57,59.53,84.16,11.99
136,fortuna,90,US,1586616113,100,40.6,-124.16,51.01,9.46
137,karatsu,75,JP,1586616123,76,33.44,129.97,52.0,11.41
138,cabo san lucas,75,MX,1586616123,62,22.89,-109.91,68.0,13.65
139,hithadhoo,92,MV,1586616123,67,-0.6,73.08,85.15,8.48
140,eenhana,89,NA,1586616123,45,-17.47,16.33,87.8,8.05
141,muros,75,ES,1586616123,87,42.78,-9.06,63.0,2.24
142,maryville,20,US,1586616123,52,35.76,-83.97,55.0,3.36
143,tsiroanomandidy,17,MG,1586616124,51,-18.77,46.03,72.81,0.83
144,avarua,87,CK,1586616124,100,-21.21,-159.78,78.8,1.12
145,ukiah,90,US,1586616124,87,39.15,-123.21,51.01,0.6
146,aksarka,39,RU,1586616124,92,66.56,67.8,21.78,15.66
147,fukue,100,JP,1586616124,81,32.69,128.84,56.62,7.78
148,rio tercero,7,AR,1586616124,40,-32.17,-64.11,69.69,14.36
149,buala,100,SB,1586616124,78,-8.14,159.59,82.33,7.56
150,tuatapere,100,NZ,1586616124,70,-46.13,167.68,54.0,3
151,arraial do cabo,75,BR,1586616125,78,-22.97,-42.03,75.2,9.17
153,beroroha,0,MG,1586616125,43,-21.67,45.17,82.85,3.87
154,sept-iles,75,CA,1586615879,51,50.2,-66.38,35.6,17.22
155,trn,20,BA,1586616125,28,44.86,17.24,73.4,5.82
156,talnakh,90,RU,1586616119,100,69.49,88.4,24.8,33.55
157,salmas,80,IR,1586616125,35,38.2,44.77,49.53,3.44
158,kulhudhuffushi,0,MV,1586616125,66,6.62,73.07,86.07,7.72
159,nova era,55,BR,1586616125,61,-19.75,-43.04,76.57,4.99
160,saint-leu,58,RE,1586616126,69,-21.15,55.28,78.8,21.92
161,pacific grove,90,US,1586616126,76,36.62,-121.92,55.99,4.7
162,bathsheba,40,BB,1586616126,62,13.22,-59.52,84.2,14.99
163,shurob,100,TJ,1586616126,37,40.05,70.55,54.81,1.19
164,galle,4,LK,1586616126,79,6.04,80.22,81.36,6.13
165,urdoma,78,RU,1586616126,91,61.75,48.54,29.32,1.43
166,mackenzie,1,CA,1586616126,85,55.3,-123.17,15.8,3.36
167,straumen,100,NO,1586616126,49,63.87,11.3,48.2,14.99
168,sapouy,99,BF,1586616127,18,11.55,-1.77,100.8,7.7
169,manoel urbano,84,BR,1586616127,54,-8.84,-69.26,85.51,3.78
170,shillong,75,IN,1586616127,73,25.57,91.88,77.0,1.59
